state,emp_length,term,homeownership,annual_income,verified_income,debt_to_income,total_credit_limit,total_credit_utilized,num_cc_carrying_balance,loan_purpose,loan_amount,grade,interest_rate,public_record_bankrupt,loan_status,has_second_income,total_income,,annual_income,loan_amount
VA,0,36,rent,116000,Source Verified,0.584396552,446850,67790,7,debt_consolidation,13125,B,10.91,0,Current,FALSE,116000,,116000,13125
NV,5,36,mortgage,30000,Not Verified,0.512008929,190832,57345,6,home_improvement,32000,B,9.44,0,Current,TRUE,112000,,30000,32000
MA,4,60,mortgage,80000,Not Verified,0.244541284,432092,53310,5,debt_consolidation,18000,B,9.93,0,Current,TRUE,218000,,80000,18000
CA,7,36,rent,103000,Source Verified,0.265834951,124900,27381,5,other,30000,A,7.35,0,Fully Paid,FALSE,103000,,103000,30000
IL,5,36,rent,58000,Not Verified,4.777258621,236668,277081,5,credit_card,4400,D,18.45,0,Current,FALSE,58000,,58000,4400
AZ,0,36,own,55000,Source Verified,0.299090909,35900,16450,12,debt_consolidation,7000,D,17.09,0,Current,FALSE,55000,,55000,7000
MN,NA,36,mortgage,65000,Not Verified,0.752246154,174860,48896,4,credit_card,25000,A,7.96,0,Current,FALSE,65000,,65000,25000
IL,2,36,rent,32000,Source Verified,0.72128125,45594,23081,4,renewable_energy,6500,A,6.08,1,Current,FALSE,32000,,32000,6500
MD,5,36,mortgage,325000,Source Verified,0.307750769,793009,100019,11,credit_card,35000,A,6.71,0,Current,FALSE,325000,,325000,35000
MD,3,36,rent,70000,Source Verified,5.333728571,272878,373361,2,other,7500,A,7.34,0,Current,FALSE,70000,,70000,7500
CA,10,60,mortgage,160000,Verified,0.3344,581604,53504,3,debt_consolidation,38500,C,12.62,1,Current,FALSE,160000,,160000,38500
NJ,6,36,rent,50000,Source Verified,1.25744,90398,62872,5,credit_card,15000,C,16.02,0,Current,FALSE,50000,,50000,15000
IL,10,60,rent,71000,Not Verified,0.742521127,115970,52719,8,car,24000,B,10.9,0,Current,FALSE,71000,,71000,24000
MI,0,36,mortgage,85000,Not Verified,0.818764706,131847,69595,3,debt_consolidation,24000,B,9.93,0,Fully Paid,FALSE,85000,,85000,24000
CA,5,36,mortgage,87000,Source Verified,0.054724138,294946,4761,3,debt_consolidation,12800,B,9.44,0,Current,FALSE,87000,,87000,12800
TX,10,36,mortgage,60000,Not Verified,0.731183333,64017,43871,5,home_improvement,6000,B,10.42,0,Current,FALSE,60000,,60000,6000
NV,0,36,mortgage,58500,Verified,0.396820513,49234,23214,2,debt_consolidation,30000,D,21.45,0,Current,FALSE,58500,,58500,30000
NH,2,36,rent,50000,Source Verified,0.50262,39814,25131,4,debt_consolidation,5825,B,10.91,0,Current,FALSE,50000,,50000,5825
IL,2,36,own,103000,Not Verified,0.973592233,150027,100280,4,debt_consolidation,20000,B,9.43,0,Current,FALSE,103000,,103000,20000
TX,9,36,mortgage,77500,Verified,0.677858065,390156,52534,2,other,15000,A,6.08,0,Current,FALSE,77500,,77500,15000
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Descriptive Statistics With Excel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
loan_amount,,,,annual_income,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Mean,17083,,,Mean,86170,,,,,,,,,,,,,,,
Standard Error,1478.624816,,,Standard Error,8141.132273,,,,,,,,,,,,,,,
Median,15500,,,Median,74000,,,,,,,,,,,,,,,
Mode,6000,,,Mode,80000,,,,,,,,,,,,,,,
Standard Deviation,10455.45634,,,Standard Deviation,57566.49837,,,,,,,,,,,,,,,
Sample Variance,109316567.3,,,Sample Variance,3313901735,,,,,,,,,,,,,,,
Kurtosis,-0.498010886,,,Kurtosis,7.050617607,,,,,,,,,,,,,,,
Skewness,0.61526274,,,Skewness,2.496626789,,,,,,,,,,,,,,,
Range,37000,,,Range,296200,,,,,,,,,,,,,,,
Minimum,3000,,,Minimum,28800,,,,,,,,,,,,,,,
Maximum,40000,,,Maximum,325000,,,,,,,,,,,,,,,
Sum,854150,,,Sum,4308500,,,,,,,,,,,,,,,
Count,50,,,Count,50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Correlation  Loan amount and Annual income,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,annual_income,loan_amount,,,,,,,,,,,,,,,,,,
annual_income,1,,,,,,,,,,,,,,,,,,,
loan_amount,0.396303033,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Frequency ,Histogram,,,,,,,,,Spread,Box Plot ,Outliers,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Income Histogram,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Relationship Loan Amount and Income,,,,,,,,,,Trend Line,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Proportion,Bar ,Pie ,,,,,,,,,,,,,,,,,,
